id,name
1,Taylor Swift
2,Jack Harlow
3,Doja Cat
4,SZA
6,Zach Bryan
7,Luke Combs
8,Tate McRae
9,Morgan Wallen
11,Dua Lipa
12,Chris Stapleton
13,Jelly Roll
15,Tyla
16,Drake
17,Mariah Carey
18,Gunna
21,Olivia Rodrigo
22,Miley Cyrus
23,Paul Russell
24,Bad Bunny
27,Billie Eilish
28,USHER
30,Mitski
31,Noah Kahan
32,Wham!
35,Doechii
38,Bobby Helms
39,Teddy Swims
40,Fuerza Regida
41,David Kushner
42,Travis Scott
43,Jessie Murph
44,Burl Ives
45,Nicki Minaj
46,Warren Zeiders
47,Nate Smith
48,Victoria Monét
50,Jung Kook
51,Lil Tecca
52,Kenya Grace
55,Rod Wave
57,Dylan Scott
60,Tim McGraw
61,Jason Aldean
62,Cody Johnson
63,Megan Thee Stallion
64,HARDY
65,KAROL G
66,The Kid LAROI
70,Oliver Anthony Music
72,Cardi B
74,Maluma
75,Calle 24
76,The Beatles
77,Selena Gomez
78,Parker McCollum
79,Myke Towers
83,Sexyy Red
87,Grupo Frontera
88,Dan + Shay
89,Dustin Lynch
90,Stray Kids
94,Carly Pearce
95,Lil Durk
97,Riley Green
98,Luke Bryan
99,YoungBoy Never Broke Again
100,310babii
