song_id,title,popularity,artist_id
1,Cruel Summer,99,1
2,Lovin On Me,96,2
3,Paint The Town Red,95,3
4,Snooze,92,4
5,Is It Over Now? (Taylor's Version) (From The Vault),94,1
6,I Remember Everything (feat. Kacey Musgraves),93,6
7,Fast Car,88,7
8,greedy,100,8
9,Last Night,86,9
10,Thinkin’ Bout Me,86,9
11,Houdini,93,11
12,White Horse,81,12
13,Need A Favor,17,13
14,Agora Hills,93,3
15,Water,95,15
16,Rich Baby Daddy (feat. Sexyy Red & SZA),88,16
17,All I Want for Christmas Is You,98,17
18,fukumean,93,18
19,Save Me (with Lainey Wilson),71,13
20,Dance The Night - From Barbie The Album,93,11
21,vampire,65,21
22,Used To Be Young,77,22
23,Lil Boo Thang,87,23
24,MONACO,96,24
25,First Person Shooter (feat. J. Cole),91,16
26,IDGAF (feat. Yeat),93,16
27,"What Was I Made For? [From The Motion Picture ""Barbie""]",94,27
28,Good Good,75,28
29,Flowers,50,22
30,My Love Mine All Mine,98,30
31,Stick Season,93,31
32,Last Christmas,93,32
33,Now That We Don't Talk (Taylor's Version) (From The Vault),91,1
34,Dial Drunk (with Post Malone),86,31
35,What It Is (Block Boy) (with Kodak Black),76,35
36,Kill Bill,86,4
37,Northern Attitude (with Hozier),84,31
38,Jingle Bell Rock,91,38
39,Lose Control,84,39
40,HARLEY QUINN,95,40
41,Daylight,94,41
42,I KNOW ?,91,42
43,Wild Ones (feat. Jelly Roll),83,43
44,A Holly Jolly Christmas,89,44
45,Barbie World (with Aqua) [From Barbie The Album],88,45
46,Pretty Little Poison,77,46
47,World on Fire,78,47
48,On My Mama,74,48
49,"""Slut!"" (Taylor's Version) (From The Vault)",90,1
50,Standing Next to You,98,50
51,500lbs,85,51
52,Strangers,97,52
53,Say Don't Go (Taylor's Version) (From The Vault),88,1
54,bad idea right?,61,21
55,Great Gatsby,80,55
56,get him back!,88,21
57,Can't Have Mine (Find You A Girl),62,57
58,Virginia Beach,85,16
59,Everything I Love,67,9
60,Standing Room Only,63,60
61,Try That In A Small Town,67,61
62,The Painter,77,62
63,Cobra,79,63
64,TRUCK BED,70,64
65,QLONA,88,65
66,TOO MUCH,87,66
67,PERRO NEGRO,97,24
68,Hey Driver (feat. The War and Treaty),85,6
69,Style (Taylor's Version),88,1
70,Rich Men North of Richmond,84,70
71,MELTDOWN (feat. Drake),88,42
72,Bongos (feat. Megan Thee Stallion),81,72
73,Slime You Out (feat. SZA),81,16
74,Según Quién,88,74
75,Que Onda,95,75
76,Now And Then,83,76
77,Single Soon,86,77
78,Burn It Down,68,78
79,LALA,95,79
80,Bad Blood (Taylor's Version),82,1
81,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,89,21
82,Turks & Caicos (feat. 21 Savage),81,55
83,SkeeYee,79,83
84,3D (feat. Jack Harlow),90,50
85,Out Of The Woods (Taylor's Version),85,1
86,Wildest Dreams (Taylor's Version),85,1
87,EL AMOR DE SU VIDA,78,87
88,Save Me The Trouble,70,88
89,Stars Like Confetti,67,89
90,LALALALA,87,90
91,Seven (feat. Latto) (Explicit Ver.),90,50
92,Suburban Legends (Taylor's Version) (From The Vault),84,1
93,Blank Space (Taylor's Version),87,1
94,We Don't Fight Anymore,74,94
95,Smurk Carter,70,95
96,MI EX TENÍA RAZÓN,88,65
97,Different 'Round Here,74,97
98,But I Got A Beer In My Hand,71,98
99,Better Than Ever (feat. Rod Wave),70,99
100,Soak City (Do it),78,100
